family;mode;size;align_method;tree_method;slave;tc
sti;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;14.1
sti;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;13.6
sti;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;27.7
sti;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;25.0
sti;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;17.9
sti;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;21.7
sti;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;24.5
sti;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;15.8
sti;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;11.4
sti;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;26.1
sti;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;18.5
sti;slave;1000;FAMSA;CLUSTALO;mbed;50.5
sti;slave;1000;FAMSA;CLUSTALO;parttree;64.1
sti;slave;1000;FAMSA;CLUSTALO;famsadnd;48.4
sti;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;57.1
sti;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;53.8
sti;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;48.4
sti;slave;1000;FAMSA;FAMSA;mbed;46.7
sti;slave;1000;FAMSA;FAMSA;parttree;45.7
sti;slave;1000;FAMSA;FAMSA;famsadnd;48.4
sti;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;55.4
sti;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;42.4
